year,global_avg_temp,hamburg_avg_temp
1750,8.72,9.31
1751,7.98,8.94
1752,5.78,4.65
1753,8.39,8.12
1754,8.47,7.88
1755,8.36,7.69
1756,8.85,8.64
1757,9.02,8.48
1758,6.74,7.76
1759,7.99,8.69
1760,7.19,8.36
1761,8.77,8.86
1762,8.61,7.81
1763,7.50,7.80
1764,8.40,8.25
1765,8.25,7.91
1766,8.41,8.27
1767,8.22,7.59
1768,6.78,7.64
1769,7.69,7.97
1770,7.69,7.98
1771,7.85,7.10
1772,8.19,8.26
1773,8.22,8.94
1774,8.77,7.76
1775,9.18,9.27
1776,8.30,8.00
1777,8.26,7.79
1778,8.54,8.68
1779,8.98,9.91
1780,9.43,8.27
1781,8.10,9.32
1782,7.90,7.67
1783,7.68,9.08
1784,7.86,6.92
1785,7.36,7.02
1786,8.26,7.06
1787,8.03,8.50
1788,8.45,7.82
1789,8.33,8.29
1790,7.98,8.48
1791,8.23,8.79
1792,8.09,8.32
1793,8.23,8.51
1794,8.53,9.24
1795,8.35,8.04
1796,8.27,8.46
1797,8.51,9.16
1798,8.67,8.83
1799,8.51,6.31
1800,8.48,7.90
1801,8.59,8.80
1802,8.58,8.21
1803,8.50,7.39
1804,8.84,7.79
1805,8.56,6.72
1806,8.43,8.78
1807,8.28,8.44
1808,7.63,7.70
1809,7.08,7.91
1810,6.92,7.76
1811,6.86,9.25
1812,7.05,6.91
1813,7.74,8.16
1814,7.59,6.88
1815,7.24,7.90
1816,6.94,7.06
1817,6.98,8.22
1818,7.83,8.59
1819,7.37,8.87
1820,7.62,7.30
1821,8.09,8.47
1822,8.19,9.50
1823,7.72,7.65
1824,8.55,8.89
1825,8.39,8.85
1826,8.36,9.04
1827,8.81,8.25
1828,8.17,8.52
1829,7.94,6.06
1830,8.52,7.42
1831,7.64,8.74
1832,7.45,7.97
1833,8.01,8.31
1834,8.15,9.79
1835,7.39,8.32
1836,7.70,8.15
1837,7.38,7.61
1838,7.51,6.54
1839,7.63,7.87
1840,7.80,7.29
1841,7.69,8.25
1842,8.02,8.44
1843,8.17,8.49
1844,7.65,7.18
1845,7.85,7.24
1846,8.55,9.45
1847,8.09,7.85
1848,7.98,8.25
1849,7.98,7.50
1850,7.90,7.67
1851,8.18,8.02
1852,8.10,8.84
1853,8.04,6.90
1854,8.21,8.21
1855,8.11,6.38
1856,8.00,7.66
1857,7.76,8.93
1858,8.10,7.72
1859,8.25,9.10
1860,7.96,7.27
1861,7.85,8.36
1862,7.56,8.43
1863,8.11,9.09
1864,7.98,6.75
1865,8.18,8.34
1866,8.29,8.76
1867,8.44,7.69
1868,8.25,9.57
1869,8.43,8.23
1870,8.20,7.25
1871,8.12,6.83
1872,8.19,9.26
1873,8.35,8.61
1874,8.43,8.47
1875,7.86,7.86
1876,8.08,7.99
1877,8.54,8.11
1878,8.83,8.71
1879,8.17,6.61
1880,8.12,8.44
1881,8.27,7.09
1882,8.13,8.73
1883,7.98,8.15
1884,7.77,8.89
1885,7.92,7.78
1886,7.95,7.98
1887,7.91,7.41
1888,8.09,6.95
1889,8.32,7.91
1890,7.97,7.76
1891,8.02,7.79
1892,8.07,7.44
1893,8.06,8.05
1894,8.16,8.52
1895,8.15,7.59
1896,8.21,8.21
1897,8.29,8.14
1898,8.18,8.69
1899,8.40,8.52
1900,8.50,8.53
1901,8.54,8.04
1902,8.30,7.15
1903,8.22,8.67
1904,8.09,8.47
1905,8.23,8.26
1906,8.38,8.73
1907,7.95,7.91
1908,8.19,8.01
1909,8.18,7.52
1910,8.22,8.92
1911,8.18,9.36
1912,8.17,8.14
1913,8.30,8.92
1914,8.59,9.21
1915,8.59,7.78
1916,8.23,8.37
1917,8.02,7.81
1918,8.13,8.60
1919,8.38,7.32
1920,8.36,8.73
1921,8.57,9.21
1922,8.41,7.27
1923,8.42,7.78
1924,8.51,7.75
1925,8.53,8.67
1926,8.73,8.85
1927,8.52,8.13
1928,8.63,8.32
1929,8.24,7.34
1930,8.63,8.94
1931,8.72,7.91
1932,8.71,8.82
1933,8.34,8.31
1934,8.63,9.96
1935,8.52,8.85
1936,8.55,8.70
1937,8.70,8.77
1938,8.86,9.37
